po_number,supplier_id,supplier_name,email_date,subject,body,sender,has_delay_signal
PO00210,SUP0022,Williams-Graham,2026-03-29,UPDATE: PO00210 - atraso,Supplier Williams-Graham has indicated a potential atraso on PO00210,supplier,True
PO00281,SUP0028,Stein-Silva,2026-03-24,RE: PO00281 - Status Update,On schedule for delivery of PO00281 as planned.,supplier,False
PO00034,SUP0171,"Smith, Cruz and Oconnor",2026-03-08,UPDATE: PO00034 - delay,"Supplier Smith, Cruz and Oconnor has indicated a potential unable to deliver by on PO00034",supplier,True
PO00211,SUP0162,Watson-Mccoy,2026-04-01,UPDATE: PO00211 - postpone,Supplier Watson-Mccoy has indicated a potential atraso on PO00211,supplier,True
PO00094,SUP0058,"Lewis, Fowler and Maddox",2026-03-17,RE: PO00094 - Status Update,On schedule for delivery of PO00094 as planned.,supplier,False
PO00085,SUP0154,Dixon-Brown,2026-03-26,UPDATE: PO00085 - delay,Supplier Dixon-Brown has indicated a potential later than on PO00085,supplier,True
PO00330,SUP0068,Murphy-Smith,2026-03-08,RE: PO00330 - Status Update,On schedule for delivery of PO00330 as planned.,supplier,False
PO00095,SUP0013,Barrera-Martin,2026-03-06,RE: PO00095 - Status Update,On schedule for delivery of PO00095 as planned.,supplier,False
PO00267,SUP0165,White-Flores,2026-03-15,UPDATE: PO00267 - rescheduled,Supplier White-Flores has indicated a potential cannot guarantee on PO00267,supplier,True
PO00127,SUP0089,Roach Group,2026-03-31,UPDATE: PO00127 - issue,Supplier Roach Group has indicated a potential postpone on PO00127,supplier,True
PO00010,SUP0116,"Thomas, Ford and Brown",2026-03-31,RE: PO00010 - Status Update,On schedule for delivery of PO00010 as planned.,supplier,False
PO00362,SUP0067,Nelson-Fischer,2026-03-19,RE: PO00362 - Status Update,On schedule for delivery of PO00362 as planned.,supplier,False
PO00057,SUP0166,"Velasquez, Stark and Brown",2026-03-13,RE: PO00057 - Status Update,On schedule for delivery of PO00057 as planned.,supplier,False
PO00073,SUP0065,White Ltd,2026-03-15,RE: PO00073 - Status Update,On schedule for delivery of PO00073 as planned.,supplier,False
PO00133,SUP0200,Cordova-Williams,2026-03-25,RE: PO00133 - Status Update,On schedule for delivery of PO00133 as planned.,supplier,False
PO00043,SUP0178,"Nguyen, Hill and Ellis",2026-03-18,RE: PO00043 - Status Update,On schedule for delivery of PO00043 as planned.,supplier,False
PO00279,SUP0091,Day-Cole,2026-03-17,UPDATE: PO00279 - delay,Supplier Day-Cole has indicated a potential issue on PO00279,supplier,True
PO00377,SUP0031,"Hernandez, Martinez and Caldwell",2026-03-11,RE: PO00377 - Status Update,On schedule for delivery of PO00377 as planned.,supplier,False
PO00232,SUP0027,Orozco-Miller,2026-03-20,UPDATE: PO00232 - rescheduled,Supplier Orozco-Miller has indicated a potential difficult on PO00232,supplier,True
PO00386,SUP0046,Weeks PLC,2026-03-23,RE: PO00386 - Status Update,On schedule for delivery of PO00386 as planned.,supplier,False
PO00078,SUP0062,"Wilson, Pena and Rich",2026-03-29,RE: PO00078 - Status Update,On schedule for delivery of PO00078 as planned.,supplier,False
PO00016,SUP0140,Cunningham-Barton,2026-03-07,UPDATE: PO00016 - postpone,Supplier Cunningham-Barton has indicated a potential cannot guarantee on PO00016,supplier,True
PO00392,SUP0034,Christensen PLC,2026-03-17,RE: PO00392 - Status Update,On schedule for delivery of PO00392 as planned.,supplier,False
